Generation #0
001011110001 - value: 33, fitness: -467, weight: 300
110101100001 - value: 32, fitness: -468, weight: 300
010101100011 - value: 28, fitness: -472, weight: 300
001101000011 - value: 27, fitness: -473, weight: 300
101111000100 - value: 45, fitness: -555, weight: 310
000101111100 - value: 38, fitness: -562, weight: 310
010101101100 - value: 38, fitness: -562, weight: 310
000101111100 - value: 38, fitness: -562, weight: 310
101111000010 - value: 38, fitness: -562, weight: 310
001110001110 - value: 36, fitness: -564, weight: 310
001110010101 - value: 36, fitness: -564, weight: 310
011001001101 - value: 36, fitness: -564, weight: 310
101001101001 - value: 32, fitness: -568, weight: 310
101010011011 - value: 32, fitness: -568, weight: 310
010110110011 - value: 30, fitness: -570, weight: 310
011100001001 - value: 25, fitness: -575, weight: 310
110001101111 - value: 40, fitness: -660, weight: 320
101011110001 - value: 39, fitness: -661, weight: 320
110100011101 - value: 37, fitness: -663, weight: 320
110100011101 - value: 37, fitness: -663, weight: 320
000011011111 - value: 36, fitness: -664, weight: 320
101101001100 - value: 43, fitness: -757, weight: 330
110110101110 - value: 43, fitness: -757, weight: 330
110001111011 - value: 36, fitness: -764, weight: 330
111111000010 - value: 43, fitness: -857, weight: 340
000111100111 - value: 38, fitness: -862, weight: 340
111101110010 - value: 46, fitness: -954, weight: 350
111111100000 - value: 45, fitness: -955, weight: 350
100011111101 - value: 44, fitness: -956, weight: 350
000111101110 - value: 41, fitness: -959, weight: 350
101111000001 - value: 37, fitness: -963, weight: 350
111111000110 - value: 52, fitness: -1048, weight: 360
011011111100 - value: 50, fitness: -1050, weight: 360
011011111100 - value: 50, fitness: -1050, weight: 360
010111101100 - value: 44, fitness: -1056, weight: 360
011011111010 - value: 43, fitness: -1057, weight: 360
011110100111 - value: 42, fitness: -1058, weight: 360
100101011011 - value: 34, fitness: -1066, weight: 360
110101001011 - value: 34, fitness: -1066, weight: 360
111111010100 - value: 55, fitness: -1145, weight: 370
111111100100 - value: 54, fitness: -1146, weight: 370
101111110100 - value: 54, fitness: -1146, weight: 370
011100111001 - value: 34, fitness: -1166, weight: 370
111111110000 - value: 50, fitness: -1250, weight: 380
110011111101 - value: 49, fitness: -1251, weight: 380
101111001100 - value: 49, fitness: -1251, weight: 380
001011011111 - value: 44, fitness: -1256, weight: 380
100101101111 - value: 42, fitness: -1258, weight: 380
010110111011 - value: 34, fitness: -1266, weight: 380
111111010110 - value: 57, fitness: -1343, weight: 390
111011101001 - value: 43, fitness: -1357, weight: 390
011100111101 - value: 43, fitness: -1357, weight: 390
000111101101 - value: 40, fitness: -1360, weight: 390
011011101011 - value: 39, fitness: -1361, weight: 390
001110111001 - value: 35, fitness: -1365, weight: 390
011101111100 - value: 51, fitness: -1449, weight: 400
111011001111 - value: 50, fitness: -1450, weight: 400
101110101101 - value: 45, fitness: -1455, weight: 400
100111101011 - value: 39, fitness: -1561, weight: 410
111111101000 - value: 49, fitness: -1651, weight: 420
011111010111 - value: 52, fitness: -1748, weight: 430
000111111111 - value: 47, fitness: -1853, weight: 440
111101101101 - value: 53, fitness: -1947, weight: 450
001111101101 - value: 48, fitness: -1952, weight: 450
111110111011 - value: 48, fitness: -2052, weight: 460
101111101111 - value: 56, fitness: -2344, weight: 490
111111011101 - value: 60, fitness: -2440, weight: 500
Generation #1
111001010110 - value: 44, fitness: 44, weight: 250
110001110110 - value: 40, fitness: 40, weight: 220
100011110100 - value: 39, fitness: 39, weight: 220
101001010110 - value: 39, fitness: 39, weight: 220
100011110100 - value: 39, fitness: 39, weight: 220
001001110110 - value: 37, fitness: 37, weight: 230
111000101100 - value: 36, fitness: 36, weight: 230
111010000101 - value: 35, fitness: 35, weight: 240
111100000100 - value: 35, fitness: 35, weight: 220
011010100110 - value: 34, fitness: 34, weight: 210
001011000110 - value: 34, fitness: 34, weight: 220
010001110110 - value: 34, fitness: 34, weight: 200
011000110111 - value: 34, fitness: 34, weight: 250
100011001100 - value: 34, fitness: 34, weight: 230
100100011110 - value: 33, fitness: 33, weight: 250
110010010110 - value: 33, fitness: 33, weight: 170
110001001100 - value: 33, fitness: 33, weight: 210
110010010110 - value: 33, fitness: 33, weight: 170
000011110100 - value: 33, fitness: 33, weight: 200
100110100100 - value: 32, fitness: 32, weight: 210
101001000100 - value: 32, fitness: 32, weight: 170
100110100100 - value: 32, fitness: 32, weight: 210
111010010010 - value: 32, fitness: 32, weight: 210
100110100100 - value: 32, fitness: 32, weight: 210
001100010110 - value: 31, fitness: 31, weight: 220
001100010110 - value: 31, fitness: 31, weight: 220
001011010010 - value: 30, fitness: 30, weight: 230
111100100000 - value: 30, fitness: 30, weight: 230
001011010010 - value: 30, fitness: 30, weight: 230
111010010000 - value: 30, fitness: 30, weight: 190
011000101100 - value: 30, fitness: 30, weight: 210
011010000101 - value: 29, fitness: 29, weight: 220
110110010000 - value: 29, fitness: 29, weight: 220
010010011100 - value: 29, fitness: 29, weight: 200
100100010110 - value: 29, fitness: 29, weight: 180
011100110000 - value: 29, fitness: 29, weight: 240
101011000000 - value: 29, fitness: 29, weight: 200
111001000001 - value: 29, fitness: 29, weight: 240
110110010000 - value: 29, fitness: 29, weight: 220
010110000101 - value: 28, fitness: 28, weight: 250
110000101100 - value: 28, fitness: 28, weight: 170
111000110000 - value: 28, fitness: 28, weight: 170
001011010000 - value: 28, fitness: 28, weight: 210
011001001010 - value: 28, fitness: 28, weight: 250
110101000000 - value: 27, fitness: 27, weight: 210
110000100111 - value: 27, fitness: 27, weight: 180
000111010000 - value: 27, fitness: 27, weight: 240
001000011101 - value: 27, fitness: 27, weight: 240
000101000110 - value: 27, fitness: 27, weight: 200
100010010101 - value: 27, fitness: 27, weight: 180
100010010101 - value: 27, fitness: 27, weight: 180
110010110000 - value: 26, fitness: 26, weight: 160
111000010010 - value: 26, fitness: 26, weight: 160
110000111010 - value: 26, fitness: 26, weight: 200
011001001000 - value: 26, fitness: 26, weight: 230
101010010001 - value: 26, fitness: 26, weight: 220
100010100101 - value: 26, fitness: 26, weight: 180
010011100010 - value: 26, fitness: 26, weight: 200
010000011110 - value: 25, fitness: 25, weight: 170
110000001101 - value: 25, fitness: 25, weight: 200
111000010001 - value: 25, fitness: 25, weight: 200
001101000000 - value: 24, fitness: 24, weight: 220
111000010000 - value: 24, fitness: 24, weight: 140
100110100001 - value: 24, fitness: 24, weight: 250
001101000000 - value: 24, fitness: 24, weight: 220
000001100110 - value: 24, fitness: 24, weight: 140
001100000100 - value: 24, fitness: 24, weight: 170
000010101101 - value: 24, fitness: 24, weight: 230
001100000100 - value: 24, fitness: 24, weight: 170
000001100110 - value: 24, fitness: 24, weight: 140
010011100000 - value: 24, fitness: 24, weight: 180
110100001010 - value: 24, fitness: 24, weight: 230
001010101010 - value: 24, fitness: 24, weight: 230
000001001110 - value: 24, fitness: 24, weight: 180
100110100001 - value: 24, fitness: 24, weight: 250
110000100100 - value: 24, fitness: 24, weight: 100
010001000100 - value: 23, fitness: 23, weight: 120
110100100001 - value: 23, fitness: 23, weight: 230
